# P500 expected summary — written by aggregate_p500.py --write-expected
# Regenerate after an intentional re-run: aggregate_p500.py <tsv> --write-expected <path>
# --check re-derives from the raw TSV and diffs against this file; any drift exits 1.
COUNTS	groups=49	rows_raw=185	kernels=129	variants=56	pairs=70	unpaired=1	multi=9	notes=70
VARIANT	22	PaperNativeNoiseChunkFlatCacheContext	oldFalseContextSummary#variant2	28825.1000	22054.2000
VARIANT	22	PaperNativeNoiseChunkFlatCacheContext	oldTrueContextSummary#variant2	32237.1000	23534.9000
VARIANT	23	PaperNativeNoiseInterpolatorSlice	flatSummary#variant2	2351770.1000	1901351.5000
VARIANT	23	PaperNativeNoiseInterpolatorSlice	oldJaggedSummary#variant2	7874816.1000	6321750.0000
VARIANT	24	PaperNativeObfHelperMaps	directMapsSummary#variant2	123.3000	93.3000
VARIANT	24	PaperNativeObfHelperMaps	oldStreamDefaultSummary#variant2	121.5000	93.5000
VARIANT	24	PaperNativeObfHelperMaps	presizedStringPoolSummary#variant2	123.0000	93.6000
VARIANT	25	PaperNativeOreFeatureLoop	oldLoopSummary#variant2	2525.5000	1888.7000
VARIANT	25	PaperNativeOreFeatureLoop	optimizedLoopSummary#variant2	2569.9000	1880.3000
VARIANT	26	PaperNativeOwnableRule	newLoopSummary#variant2	4840.6000	3727.1000
VARIANT	26	PaperNativeOwnableRule	oldStreamSummary#variant2	5433.1000	4171.3000
VARIANT	27	PaperNativePalettedReencodeScratch	directPackedSummary#variant2	1424066.0000	1158314.1000
VARIANT	27	PaperNativePalettedReencodeScratch	oldNewArraySummary#variant2	635724.9000	493638.5000
VARIANT	27	PaperNativePalettedReencodeScratch	scratchThreadLocalSummary#variant2	537575.3000	411926.1000
VARIANT	28	PaperNativePluginClassLoaderGroup	oldLookupSummary#variant2	118.8000	91.7000
VARIANT	28	PaperNativePluginClassLoaderGroup	skipRequesterSummary#variant2	120.3000	92.4000
PAIR	0	PaperNativeAquiferIndexStride	oldBatchSummary	newBatchSummary	0.933414
PAIR	1	PaperNativeAquiferPositionalLocation	oldBatchSummary	directBatchSummary	0.993182
